Rating,Helpfullness,Review Title,Reviewer Name,Review Date,Review Text
9,157 out of 347 found this helpful,Amazing...well knitted story!!!,prasanna_iyer,15 May 2020,"Everything is amazing about this series... story, casting, location...wow!!!... just finished it in a day...well knitted..!!! Worth binge watch!!!"
1,295 out of 675 found this helpful,Truly a waste of time,kamathrajath,20 May 2020,"I was having high hopes on this show. But it's not as good as most people are claiming it to be. I wish there was a negative rating, this show is worth your time."
10,101 out of 219 found this helpful,Sets A Bench Marks.,alokranjan-34952,15 May 2020,"If a category like ""perfect"" in the Indian web series categories exists, then ""Patal Lok"" must be top in the list.The whole series was like a journey. In which the character Inspector Hathiram Chaudhary was a co-passenger the viewers like me.The series seems to satisfy every type of audience, giving a happy ending with unexpected climaxes.This series has become so good that the writer of this series will continue to have a lot of pressure over the director, producer and all the other participants to bring its counterpart to the next season.This series has set a benchmark.The responsibility has fully played, given to Jaideep Ahlawat.Best wishes to Cast and Crew."
8,143 out of 320 found this helpful,Amazon never disappoints.,djdevansh95,15 May 2020,"Patal Lok , is a new crime drama series. It is produced by Clean Slate Films (Anushka Sharma's production house which is also responsible for Pari & NH10). The creatives heads behind the show are also noteworthy, like Sudip Sharma(Udta Punjab), Navdip Singh(NH10 & Laal Kaptan), Hardik Mehta(Kamyaab), Prosit Roy(Pari). If one does'nt really now about anything about the show, the creative heads are enough to feel hyped.
So the first few words about the show is that, the hype is real real. They delivered something worth your time. The show is about for criminals who are trying to attempt a murder of the most respectable news journalist. Due to anonymously typed by someone they get caught. Somehow the case is thrown by the higher authorities to the the local thana officer (Jaideep Ahlawat). He is so a desperate person for his promotions. Jaideep Ahlawat as a cop delivered his best role. He is so natural, raw, vulnerable, kind, and a person who knows and accept his limits.
The show is a slow and steady burn. It will defiantly take time to sync. That's why it has to have a solid pay off in the end. Man it is worth every second of your time. Go watch it asap!"
10,48 out of 98 found this helpful,Best series to watch during Lockdown,kakauppal,19 May 2020,This is the best series I watched during the lockdown. I had to finish it in one go. Highly recommended!
9,135 out of 302 found this helpful,A Masterpiece..!! Worth in lockdown 🍻,deveshtanwar,15 May 2020,"Must watch for the action, suspense and thriller lover's.
-Excellent work by Sudip sharma and Jaideep is fantastic as always even new talent Abhishek banerjee fits in the character of Hathoda tyagi.
-Action scene are as realistic as we scene in Mirzapur, even it gave similar essence of uttar Pradesh touch.
-Just waiting for season 2."
10,181 out of 414 found this helpful,You can't miss this,kfulshankar,15 May 2020,"I bet this web series will make your lockdown good, strong script, good acting"
2,155 out of 356 found this helpful,A promising start which fizzles out midway,mayurp-51570,15 May 2020,I was hooked on this show from the first episode and it keeps getting better till 4th episode. After that it's just dragging the plot till the last episode. It should have been shorter in length.
10,149 out of 342 found this helpful,Best,hrithikrai-77532,15 May 2020,"Best series of 2020 ,awesome star cast and outstanding performance by jaideep ahlawat(hathiram chaudhary)"
9,138 out of 318 found this helpful,Great Storyline,ayndta,15 May 2020,The storyline is great but the speed of the show is not so fast... But dont worry bcuz the show does not looses its grip and the cliffhangers are fantastic.You can easily complete this series in one sitting.
8,130 out of 301 found this helpful,Performances makes the Well Written Story more Entertaining. - itsbymayank Review Paatal Lok.,mayanklouteriya,15 May 2020,"One word Review - Raw.
Very well written and directed, Every character has done his job in the best way, the story get distracted just because of unnecessary things but not every time. Slow start but makes it engaging with time, Bit lengthy but ok. Described every character's part/story and it is somewhere necessary to do, that brief thing make story engaging somewhere yes.
The Performance of the lead Jaydeep/Ishwak Singh n Neeraj Kabi and all character's work is flawless, just that they enjoyed and lived the story. The story doesn't revolves around the criminal and crime everytime it has more to show.. Watch Abhishek Banerjee he is gem.
Story is good, Gripping, Real. Worth Watch.
-itsbymayank Review of Paatal lok.
""Mayank Bharat Bhushan Louteriya"""
1,160 out of 377 found this helpful,Worst we series,vckmishra7,17 May 2020,Trying to copy english webseries while having story without any entertainment factor
10,123 out of 285 found this helpful,"Cult crime drama never expected,it's just a surprise pack",shivaji-09630,15 May 2020,"Paatal lok just surprises you that reaches more then your expectations, hathi ram charecter it's just a bone for the entire series ,keen solving and engaging the audience with some awesome screen play and story , this is more then I expected must watch and you will never regret after watching,go for it."
1,145 out of 340 found this helpful,Worst webseries pathetic storyline,pabhishekap,20 May 2020,"The worst webseries ever I see in my life although the acting of cast is good but the story is too slow paced. It doesn't excite you to watch next episode and pathetic storyline, it doesn't conclude the story in my opinion ending could have been better."
9,101 out of 235 found this helpful,An Adrenaline rush till the end!,shivapraneeth,15 May 2020,"Beyond belief, firstly would like to congratulate the cast and the crew for producing this amazing show. This show again proved that neither the actors, directors, producers nor technicalities like graphics and visuals but it showed us that content(Story) is the king. When you get a good story and a story teller visions right then it is a magic on the screen and proud to tell you guys that i had this magical experience while watching this show. Finally thanks to Amazon Prime man you guys nailed it again on of the Best shows of the year."
10,34 out of 71 found this helpful,A must watch investigative thriller,pintuvig,17 May 2020,A very well written script and screenplay. All elements in appropriate amounts. The actors transformed the director's vision more than what was expected. Kudos to clean slate and Anushka for producing and identifying worthy scripts.
1,119 out of 283 found this helpful,You're better off for not watching it,anchitpandey,17 May 2020,"Bad script, child abuse in the name of creative acting and direction show. Degrading show in general."
1,114 out of 272 found this helpful,Not good,rahulkus-50739,16 May 2020,Not good. Acting is good but not storyline. Story is predictable from first episode.Few actors performed well but because of week storyline the series is not able to hold the interest.
3,46 out of 101 found this helpful,Ending is disappointing,amitmworld,16 May 2020,"I have seen complete series, few points i have observed
3 star for acting by main charactersDirector looks biased to show one community innocent, it has been shown in series many times. Which make the story telling very awkward. This looks like we are watching NDTV. I feel series should not take any political stand very clearly. It can have vantage point what one person think. We are not here to see what a director/ writer thinks.Ending is very awkward, like some good suspense ending , come-on we are not watching hindi movie ""Teri Meharbaniya""This is my personal view."
1,117 out of 280 found this helpful,Utter crap,rish2006,21 May 2020,Just watch anything on prime except this 'paatal lok'. Another stupid psycho killer type lame story.
1,88 out of 206 found this helpful,"Worst n useless, waste of ur time.",indiabharat-72827,17 May 2020,"Very common to show in series or bollywood movies against hindus, downgrading hindu gods etc n glorifying muslims. Hate it."
9,92 out of 217 found this helpful,As raw it can get,nairanupgk,16 May 2020,"A breath of fresh new writing which reprsents the blood thirsty politics of rural india. The last i remeber any movie which came close to addresing this issue was hassil, after that definitely it is pataal lok. Enjoyed it....."
9,97 out of 230 found this helpful,Easily placed in indian webseries all time best.,kanti_banerjee,16 May 2020,"This country needs more such content. More such thoughts.
Loved the way it subtly potryas the recent indian socio political scenario.
Overwhelmed with the vintage sarcasm & dark comedy. I always heard good comedy can come out of very serious situations too, perfect example of that.Thrilled with the vividity of the charecters.
First three or four episodes was building the backdrop and suddenly it bowls you over with its brilliance.
I repeat this country needs more such contents and thoughts"
1,51 out of 115 found this helpful,Worst story,saur-90316,20 May 2020,"There wasn't any outcome in the story. Inspector has a dream to prove himself of any worth in the eyes of his family which was only achieved because he got his son's friend which has nothing to do with the main story which doesn't end in any way and the Inspector didn't achieve anything because of it. At last you will feel why was even the motive of the story, where did it really tried to go."
2,60 out of 139 found this helpful,Propaganda,palknpcst,20 May 2020,"This show is utterly Hinduphobic in its Content.
Propagating Leftist-Commy agenda in a subtle way."
10,91 out of 221 found this helpful,This is Baap of sacred games and mirzapur,dextersiddhu,15 May 2020,This show is baap of sacred games and mirzapur. Jaideep is a gem. All actors did good job.. Such a great and well made show. Not a single second felt bored. Must watch show.
1,51 out of 119 found this helpful,Ordinary story,agamit-68738,20 May 2020,Nothing special in the series. The plot seems like you have seen it at many places before.
10,70 out of 169 found this helpful,Must Watch!!!,taylorbernathal,15 May 2020,"Paatal Lok isn't a mere crime thriller. It's a visceral, haunting narrative that digs deeply into the ugly trappings of a depraved system that dictates and determines lives."
1,45 out of 104 found this helpful,Hinduphobic content,rohit-04463,17 May 2020,"Well it's high time that Indian Series realise that they need to stop showing Hinduphobic content..,,
It's a shame that you guys time n again keep downsizing Hindus..."
10,24 out of 51 found this helpful,Super Super super,tumsakoinahi,18 May 2020,Its very Mind blowing To watch.. Its really worth To watch it .. Amazing script
1,45 out of 105 found this helpful,Script written in a hurry!,neetabora,17 May 2020,"Many loop holes. I don't understand why policemen were running to Chitrakoot or Punjab without even interrogating the criminals properly.
Communication is missing in many places, assumptions are made.
Just coz the story writer knew they were connected to Chitrakoot, the police went there, even though they had the criminals in their hand. And they're running themselves, they could've either contacted local Chitrakoot police for info or sent any junior officer. They're listening to criminal's background stories like Panchtantras while not spending enough time to interrogate them in lockup.
It's very slow many times! No good dialogues too. I feel sorry for Gul Panag the most.
Also, it's very painful that series are extremely left leaning nowadays. I expect series to bring out good & bad in all communities as there are good & bad people in every religion. Why do we always have to run a propaganda? It's like listening to a friend after his/her divorce. They'll always tell how good they are but ex wife/ husband is bad etc.
The non veg in train scene - very kiddish. I've travelled with people from muslim, non muslim communities & they never bring non veg in train. It's not about religion but food habits. Fellow passengers might get uncomfortable or meat get spoilt. Even my family is non veg, but we never carry it in train.
This shows the script wasn't given much thought. Very immature & unrealistic approach.Although I liked their acts but giving less rating since it doesn't deserve 8."
1,59 out of 142 found this helpful,Give respect to women,rizeonsk,18 May 2020,"Episode 2, 3:41 minutes
There is a sentence "" you lying Nepali whore "". That's not fair to insult other countries citizens this wa. This content must be removed.....!!!"
1,40 out of 93 found this helpful,Wrong story line intended to spoil the reputation of indian police and Indian governance,advakss,19 May 2020,"The entire season is entertaining however the story revolves around discriminatory view against once society with intention to create a roumors of bad governance in India and diplicts poor and wrong approach of Indian police system, assassinating their characters and approach which i think is noting is bad moral of entire story therefore i dont like that...."
1,22 out of 47 found this helpful,Too slow web series,rohitrajjnv,20 May 2020,"Story is too slow and it will take 6.5 hrs to finish it..it should be finished in 4-5 hrs.
You can't compare it with sacred games, Asur and family fan.."
1,37 out of 86 found this helpful,Utter boring,ramborocksever,23 May 2020,Not talking about the core point of the film. But this is dead boring and slow like a snail. Deviates all the time from the point and comes with total crap. I regret now and should have invested my time on something else.
10,65 out of 162 found this helpful,Gripping from start to end. Simply wow.,rajdeepcal,15 May 2020,What a story telling. Brilliant acting which doesn't look like one. Crisp script and shooting locales and cinematography superb. But the background score is hauntingly brilliant and it stays with you after the series is over. Can't wait for the sequel. And the punjabi rap (though I don't understand punjabi) was wow. All in all. Sixer hai boss.
2,24 out of 53 found this helpful,End Will Break all our Expectations,moreswapnil-80182,24 May 2020,I will rate this series on basis of a content. The writer has introduced mythological character A Dog and Hiranyakashyup . He wish to relate few characters to them and this is where the trouble arises. The director couldnt do justice to specify this plot.Minority situation has been shown from one point of view which has been done from past. They are suppressed. A more hard hitting end would have made me give 8/10.
10,24 out of 53 found this helpful,Peerless,skchandel,19 May 2020,In Hindi or Indian cinema this type of content we rarely see . Recommend this webseries strongly.
10,24 out of 53 found this helpful,Simply Awesome,tejasnaik-00095,19 May 2020,"A web series which outstandingly portrays all the possible layers of today's society, the casteism which is still prevalent in some parts of India, how people will ruin so many lives for their own personal gains, and how fake news and stories can be so dangerous. There is no Hinduphobia in it. It is the bitter truth and we need to swallow it. The world is not all merry merry. We must embrace both the good and the bad."
3,22 out of 48 found this helpful,"Apart from Hype, this show has nothing.",unrivaledraj,22 May 2020,"This show is really bad, I mean like literally terrible. And it isn't because of a religious angle or Hinduphobia, because there's no such thing in the show. Apart from a few scenes that shows a muslim being a mob lynched or has to hear some racial slurs in his workplace which is very true, this show doesn't even attempt to create any kind of religious angle, the bad reviews here based on such things are just ardently stupid and themselves view everything through a religious glass.
This show is bad in terms of story, acting, screenplay, music and direction. You have actors like Neeraj Kabi, Rajesh Sharma and the director and writer had no clue as to how to utilise them on screen. The series span to 9 episodes, which is just a waste of time and could have wrapped this up in 4-5 episodes. So many sub plots are created and have absolutely NO relevance to the main arc, like-
1. Hathiram's son and the scenes of his gun or school, or his class etc have no relation to the story, and doesn't impact Hathiram in anyway. Waste of time.
2. Sanjeev Mehra's wife(Swastika) and her anxiety, I don't know why did they put it on the show, makes no sense to the story, her love for dogs was enough relevance, a good amount of time is wasted on her anxiety which is utter stupidity in terms of relevance to the story.
3. Hathiram's brother in law and his wife scenes, has nothing to do with main plot.
4. The four accused in the attempted murder, apart from Vishal Tyagi's character backstory, none of the other 3 stories matter or has any kind of impact on the main plot and so much time is spent in explaining their character backstory and it doesn't even impact the main plot, like replace these 3 with any other tom, dick and harry and the main plot won't change even a bit. Such is the irrelevance.
This shows biggest problem is the story, there's nothing for the actors to act upon. They tried a bit of Sacred Games here, trying to establish all the characters and portraying their backstories spanning decades, but where they fail is that every Sacred Games characters backstory is directly/indirectly related to the main plot, while in Paatal lok it's all haywire. It would have been much better if they had turned this into a mini stories and put in some better roles for the cast to portray. This series is way below average. And I'd like to say again, there's no religious angle to main plot. People themselves are racist to view it in such angle."
9,64 out of 161 found this helpful,Paatal lok,coolrahul-57662,15 May 2020,"Content is best. Its showing that how media is making conspiracy of fake news between public. And how they are enjoying with trp. Minority issue is also showed by the maker , Its true that so called religion is now a arrow game for present era. And how it can twist the all game.Showing the real truth of backward class problems. Story is moving around the conspiracy theory that made by journalists and politicians.One of the best indian series , u have to watch."
1,27 out of 61 found this helpful,Time waste,pankajmaelstorm,22 May 2020,"Fake, Boring and total time waste series. Not recommended to watch"
1,33 out of 77 found this helpful,One more anti Hindu propaganda from Bollywood with average story,varun-ranafeb,21 May 2020,"As expected from current netflix and amazon web series, defame hindus in every possible way and always show muslims as peace lover and victim of hindus hatred , even before i started watching this series, I told my wife that side hero in police shall be a police muslim victim of hindu hatred, and it turned out true, what else can we expect from bollywood dawood lobby, apart from his story is pretty average and followed by few turns as expected in this type of series."
10,11 out of 21 found this helpful,Jai Ho Jaideep Ahlawat!!,hasteerbrijesh,17 May 2020,"Brilliant performance from Jaideep loved your work.
You are very very great actor...
Pataal lok must watch"
10,13 out of 26 found this helpful,Truly a masterpiece. Amazing!!,vikas6782000,17 May 2020,"A must watch. It is different from usual Patriotic and Secret service drama. It depicts ground reality of crime investigation and brutal politics in an innovative way. Direction is unique where small stories creates strong character development and their importance to story. Acting is sublime. Definitely a masterpiece from Prime. .
Hats off to whole team of this show!!!
Waiting for more."
10,13 out of 26 found this helpful,Excellent show,amitbala-56541,17 May 2020,Perfect show with perfect story. Must watch. Acting was too good. Story good. Ending mind blowing
9,13 out of 26 found this helpful,Yes off course it's worth watch series.,alpitambre,16 May 2020,"Nice script, class of an acting by everyone & off course a great thriller.
Surely alteast one time watch."
10,13 out of 26 found this helpful,Must watch,yash-05196,16 May 2020,"Really good and gripping web series
It's a must watch and no one should miss it."
10,13 out of 26 found this helpful,Mr Ahlawat You are Simply Awesome,dysondarryl,16 May 2020,One of the best from Indian Series.... Raw Hard Hitting....Jaideep is simply outstanding with supporting cast giving their best.
8,13 out of 26 found this helpful,Good Show,ajay-92672,16 May 2020,"Paatal Lok is a good show but it's not perfect. This show gets so many things right about the society and is so relatable at several instances. It is one of the few shows that is able to capture the essence of various kinds of Indians. Story wise, it is quite engaging story and has surprises at regular intervals. Overall, it is a good series which loses its pace but manages to keep you hooked throughout"
10,13 out of 26 found this helpful,Another masterpiece by Amazon Prime,sadikinahmedseam,16 May 2020,"Amazon Prime is literally killing it..🔥🔥🔥
Pataal Lok is a just a masterpiece
All the cast were too good❤
Hoping for season 2❤"
8,13 out of 26 found this helpful,"SwargLok , Dharti Lok and then there is ""PAATAL LOK""",Hussain-AL-Naseer,16 May 2020,"Disclaimer: I'll try to keep this review as short as possible but I'm afraid I couldn't so bear with me, but if you're reading this, I'll make sure its gonna worth it.
So finally, we are in the era where OTT's is the new game, it is not only changing and getting popular by providing its viewers a whole new home-based experience but if we see the other side it is giving confidence to the producers to take risk's, giving free hand to its writers - directors to play creatively and more authentically as much as they can with minimum to practically no censorship along with the actors who deserve the characters as according to their capabilities and finally getting the praises and due credit they deserve and Pataal Lok is its latest and genuine example.
It is one of the finest Thrillers I've seen, giving us the closer look to reality about the bitter and darker face of the society. The series portrays the Communal and cast system along with politics that media plays to form and to manipulate the perception of the society, and that too without being judgmental to these issues for which the credit goes to the writer and directors of the series including Hardik Mehta & Avinash Arun among others for which they truly deserve the round of applause.
Skipping about the series plot as you should watch it by yourself, I'll directly jumps towards the performances. Each and every performance is hitting the right notch, casting has been done brilliantly providing the blend of seasoned acclaimed actors such as Vipin Sharma, Neeraj Kabi alongside Vikram Kapoor & Rajesh Sharma with their brief but valuable appearances, followed by young aspiring actors including Mairembam Ronaldo, Ishwak Singh with the standout performance by Abhishek Banerjee as Vishal ""Hathoda"" Tyagi, his presence will surely give you chills.
As I stated above and one of the reasons, I support the OTT platform is that actors getting the roles they deserve and for this particular series the Man of the Show is Jaideep Ahlawat the main lead of the series doing all the heavy liftings and doing it all effortlessly. Ahlawat as Hathiram Chaudhary an Inspector with a passion to solve the biggest case of his life to prove himself worthy not just as policeman but as Husband and as Father also. He was both comfortable and convincing in each and every scene for which again credit also goes to the writers because they didn't imposed anything, like the use of slang- Gaali's were not forced but genuine like for example a dialogue 'Pori Zindagi apne baap ki aankhon mei dekha aai ke mera beta Chutiya aai, ab apne bete ki aankhon mei nahi dekhna chahata ke uska baap chutiya aai'.
This single dialogue by Hathiram Chaudhary is enough to describe his whole life.
The series also constantly connects the situation with the Hindu mythologies and what has been written in their scriptures as Paatal lok itself is taken from it yet again the writing is so lit that all the references are been delivered lightly as Hathiram after describing all the mythology saying 'Waise tou yeh sab Shahstaron mei likha aai, Mager meine WhatsApp pe parha aai'.
In the end I would also like to appreciate the producers i.e. the Clean Slate Films and Anushka Sharma for not ending the series open ended or incomplete for future seasons as I've seen now days its been a norm that if the series got hit makers do keep room for further stretching it into seasons, which is not the case with this series and it shouldn't be with any of the other series where it is not required."
10,65 out of 166 found this helpful,Simply Outstanding,abbaspatel-44169,15 May 2020,"Very well directed by Avinash Arun and Roy.
Too good acting by jaideep ahlawat, abhishek banerjee, Neeraj kabi,gul Panag and ishwak singh.Brilliant drama story 👌"
10,58 out of 147 found this helpful,I series which says,pnb-45330,15 May 2020,"Great acting by Mr Ahlawat and all, I watched 7 episodes in one go, will finish it by tonight itself. The series will give you a better idea of what going around these days. It tells about the truth you always knew in your inner self."
1,20 out of 44 found this helpful,Not good enough to get more than 1 star,kishankotadia,22 May 2020,"I don't know why people liked it, just because of violence and adult content? maybe yes. the whole plot started very strong but couldn't develop as a master-piece and the climax is utterly disappointing.
Don't waste time on this."
10,18 out of 39 found this helpful,Bye Bye Sacred Games!,Curious_Always,15 May 2020,"Paatal Lok is a roller coaster ride. It is truly the best Indian show online. It boasts of a gripping storyline, exceptional performances by the entire cast and is a treat for the eyes. It is more Indian than any show I have ever seen. EPIC Stuff!"
10,21 out of 47 found this helpful,A must watch,ayusharmaishss,19 May 2020,"Best TV series made till date in India.
Everything about this series is absolutely perfect.The actors,the plot, screenplay everything.Great job."
10,24 out of 55 found this helpful,Terrific !,junaid-zealot20,17 May 2020,I'm sure trolls are going to go crazy on this one and try reducing the ratings of this series as a full time job for a few days now.
9,44 out of 110 found this helpful,Another great Indian Series of 2020,pranayjalvi,15 May 2020,"Paatal Lok shows the inside of political conspiracies and the poison they spread in the media and law as well. The screenplay was tight and it shines a light on the darkness of the people and their greed to be at the top of the game.It's an engrossing crime thriller that leaves you with more to wonder. Jaideep Ahlawat played a significant and critically amazing character of Hathi Ram looking out for answers to this madness. Another win for an Indian Web series this year.
My Rating : 4.5/5"
10,25 out of 58 found this helpful,"Mind Blown, Spell Bound, This one is THE ONE!",reachsidhant,16 May 2020,"Reviewing for the first time ever, this series has set a standard which has been never set earlier and would be extremely difficult to set. In love with each and every scene, each character and special applause to Jaideep Ahlawat. Simply wow!"
10,25 out of 58 found this helpful,Potrayed Pataal Log Beautifully,jayeshbaldawa,15 May 2020,"When you start watching it you will be pretty confused what's really going around here but as the series moves ahead , it keeps you on the edge on seat. Every character , scene & dialogue are more than remarkable. That line ,""We liberals are such a cliche, all we need for human story is a Muslim criminal and LGBT character "" perfectly fits the current scenario. As the series end you will get your answer but there will be numerous question for you to look for. Must watch"
10,25 out of 58 found this helpful,Great,kaustubshivkumar,15 May 2020,Great and interesting show keeps you gripped all the time
10,26 out of 61 found this helpful,A must must watch,happyjeena,17 May 2020,"Absolutely entertaining and binge worthy.. watched all episodes in one go.. also people giving it one star are hate mongers, do not listen to them.. enjoy the show.."
10,30 out of 72 found this helpful,"Gripping, detailed & without any loose ends.",sidmach,16 May 2020,A master craft with Jaideep Ahlawat leading from the front & rightly so. Neeraj & other support casting were bang on. The story grips you from start & keeps you on toes till E-9. No loose ends & properly ended. Must watch!
10,30 out of 72 found this helpful,"Dark ,smelly ,ever growing, great",vaibhavvermait,15 May 2020,"I am giving this title 10, though it is not best in the world but surely one of the best in Indian web series. Casting and editing is amazing, Hathi ram dialogues and Vishal tyagi character is my fav. Background story of each character is good, crisp , much needed and sufficient. This series have what i like in web series, a good story with actors who are doing justice with their characters.
I am on episode 8 and cant stop watching till i finish it."
10,30 out of 72 found this helpful,One of the finest crime-thrillers of Indian web series,sarajitdas,15 May 2020,Highly recommended series. Brilliantly written and the acting is just mind-blowing. One of the best crime thrillers of Indian web series.
9,23 out of 53 found this helpful,Almost a complete series!,ridi-arahan,16 May 2020,"Personally, I found the series clever and humorous.I think comparing it to sacred games 1 would be injustice, considering both equally great in their screenplay and performances.
What worked:
Neeraj Kavi as always was a treat to watch. Jaideep and Abhisek were phenomenal.balanced screenplay and clever conclusionWhat did not work:
-some of us might feel the religious propaganda/ aspect to be a distraction and repetitive
Final verdict:
It is one of the few Indian series which leaves you satisfied and glad that you took the ride. Highly recommended."
8,31 out of 75 found this helpful,A must watch!,arpitgupta-26629,16 May 2020,"A well directed season. Shows how the system is malfunctioning, how lower official are made puppets to satisfy bigger gameplays."
10,31 out of 75 found this helpful,Must watch!,advankitborker,15 May 2020,"Its a much watch series which came over this pendemic or we can say during this lockdown.
Well this series will get to reach you how wounded pillars of our democracy actually works!
And yes for dog lovers its a good watch."
10,36 out of 89 found this helpful,Must watch.,anujkambli,15 May 2020,"Ohh man what a series. Amazing dialogues, amazing direction every things is just amazing. Story is a bit slow but its worth watching."
10,36 out of 89 found this helpful,Astonishing !!!!!!,sweetishncooldevil,15 May 2020,"Finally a gripping series. Marvelous acting by Jaideep. Loved the way how plot deepens per episode. Highly unpredictable and awesome direction. If you are into mystery and thriller genre, then this one is simply one of the best so far. Paatal Lok has definitely raised Indian digital content standards."
10,36 out of 89 found this helpful,Superb,gs_hira,15 May 2020,"Doesn't deserve less than 10. Though language and some scenes are very explicit which makes it not so family watching kind of series. It gives feeling of realistic and touches upon so many aspects of our lives without compromising flow, quality & events of story. Rajdeep proved himself as an actor who probably can fill up level where very less number of people can act at."
